
Chain 0:  57%|█████▋    | 244/426 [00:01<00:01, 135.52it/s]
Chain 0: 100%|██████████| 426/426 [00:03<00:00, 137.09it/s]

Chain 1: 100%|██████████| 426/426 [00:02<00:00, 143.15it/s]
Chain 2: 100%|██████████| 426/426 [00:03<00:00, 128.02it/s]

Chain 3: 100%|██████████| 426/426 [00:03<00:00, 130.12it/s]
Chain 4: 100%|██████████| 426/426 [00:03<00:00, 139.72it/s]

Chain 0: 100%|██████████| 426/426 [00:03<00:00, 137.02it/s]

Chain 1: 100%|██████████| 426/426 [00:03<00:00, 139.89it/s]
Chain 2: 100%|██████████| 426/426 [00:03<00:00, 141.70it/s]

Chain 3: 100%|██████████| 426/426 [00:03<00:00, 140.76it/s]
Chain 4: 100%|██████████| 426/426 [00:03<00:00, 132.19it/s]

Chain 0: 100%|██████████| 426/426 [00:03<00:00, 135.52it/s]
Chain 1: 100%|██████████| 426/426 [00:03<00:00, 126.32it/s]

Chain 2: 100%|██████████| 426/426 [00:03<00:00, 135.17it/s]

Chain 3: 100%|██████████| 426/426 [00:03<00:00, 134.28it/s]
Chain 4: 100%|██████████| 426/426 [00:03<00:00, 138.63it/s]

Chain 0: 100%|██████████| 426/426 [00:03<00:00, 128.36it/s]
Chain 1: 100%|██████████| 426/426 [00:03<00:00, 133.09it/s]

Chain 2: 100%|██████████| 426/426 [00:03<00:00, 129.04it/s]

Chain 3: 100%|██████████| 426/426 [00:03<00:00, 135.42it/s]
Chain 4: 100%|██████████| 426/426 [00:03<00:00, 130.46it/s]

Chain 0: 100%|██████████| 426/426 [00:03<00:00, 119.33it/s]

Chain 1: 100%|██████████| 426/426 [00:03<00:00, 123.95it/s]
Chain 2: 100%|██████████| 426/426 [00:03<00:00, 130.31it/s]

Chain 3: 100%|██████████| 426/426 [00:03<00:00, 117.82it/s]

Chain 4:  81%|████████▏ | 347/426 [00:02<00:00, 135.33it/s]

Chain 4: 100%|██████████| 426/426 [00:03<00:00, 130.24it/s]
